paths,Plain SE,CV(opt) SE
5000,0.06568043689341088,0.02534572767750513
10000,0.04702279046189171,0.017794118661758198
20000,0.03294128491498736,0.012270236528952282
50000,0.02071683948207625,0.007828978375619541
